bfs_nr,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot
72,2023,22.9,39.1,468,96.4,5.6,4923,94926,735000000,0.0,12747.0,84.0,25,5.1,24.4,213.0,Winkel,ZH,2,95.0
81,2023,18.9,40.2,59,92.3,3.3,652,64478,410000000,0.0,2327.0,96.0,4,6.3,15.4,403.0,Bachs,ZH,2,9.0
82,2023,19.6,39.1,195,134.1,5.6,1434,90381,842000000,0.0,3351.0,92.0,9,6.2,30.1,231.0,Boppelsen,ZH,2,27.5
83,2023,27.1,36.7,551,83.5,3.7,6646,63175,265000000,62.9,19195.0,83.0,28,4.2,20.6,272.0,Buchs,ZH,4,70.8
84,2023,26.2,36.1,450,105.4,4.0,4369,60328,304000000,0.7,13863.0,89.0,25,5.9,18.8,222.0,Dällikon,ZH,4,25.3
85,2023,23.0,39.3,220,118.2,4.0,1864,68804,349000000,0.3,3377.0,81.0,7,3.8,33.3,228.0,Dänikon,ZH,0,999.0
86,2023,27.4,35.1,511,83.2,6.3,6360,59587,315000000,71.5,28389.0,89.0,55,9.0,23.8,211.0,Dielsdorf,ZH,10,35.1
87,2023,17.4,42.0,135,140.8,3.6,973,85209,473000000,0.0,1780.0,90.0,7,7.3,36.7,224.0,Hüttikon,ZH,0,999.0
88,2023,17.7,42.1,339,102.2,4.9,3314,9634,1404000000,0.0,13636.0,94.0,26,7.8,25.4,238.0,Neerach,ZH,0,999.0
89,2023,26.8,37.0,458,88.6,3.1,5325,60791,276000000,48.7,16124.0,84.0,31,6.0,18.5,208.0,Niederglatt,ZH,0,999.0
90,2023,24.9,36.4,753,79.4,3.5,9589,61630,288000000,71.3,27730.0,88.0,38,4.0,21.2,239.0,Niederhasli,ZH,7,33.1
91,2023,22.4,39.3,306,99.3,5.3,3225,69408,421000000,0.0,5530.0,83.0,10,3.2,31.7,387.0,Niederweningen,ZH,6,18.7
92,2023,30.2,35.6,513,68.3,1.9,7573,51573,135000000,39.9,17858.0,78.0,34,4.5,19.7,198.0,Oberglatt,ZH,6,17.2
93,2023,21.8,40.0,204,108.4,4.3,1884,68739,435000000,78.9,3287.0,79.0,13,6.9,26.2,189.0,Oberweningen,ZH,2,25.5
