Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,electric_car_charging_spot_count,electric_cars_per_charging_spot,Ranking Gesamt [Punkte],bfs_nr,municipality,Rangliste
1.71,3.9200000000000004,2.67,1.3,1.6199999999999999,8.5,18.400000000000002,0.8,3.15,6.800000000000001,0.2,0.2,49.27000000000001,58,Glattfelden,99.0
1.02,2.1,2.4899999999999998,0.55,1.8599999999999999,9.8,7.0,0.6,1.3499999999999999,8.200000000000001,0.1,0.1,35.17000000000001,59,Hochfelden,152.0
2.61,0.9100000000000001,0.54,0.25,0.44999999999999996,9.8,14.200000000000001,1.96,0.44999999999999996,4.5,0.4,5.300000000000001,41.370000000000005,60,Höri,135.0
0.51,3.99,3.9,1.1,3.03,9.1,5.800000000000001,2.44,10.65,8.9,0.1,0.1,49.620000000000005,61,Hüntwangen,97.0
2.61,1.33,0.18,0.9500000000000001,0.32999999999999996,3.1,31.6,0.96,5.55,1.5,3.2,8.9,60.21,62,Kloten,29.0
2.13,3.8500000000000005,3.9899999999999998,1.5,3.84,9.8,8.8,2.12,4.8,7.800000000000001,0.1,0.1,48.83,63,Lufingen,101.0
0.72,3.5700000000000003,2.94,0.9500000000000001,3.96,9.8,16.2,0.52,6.6,4.800000000000001,0.4,2.7,53.160000000000004,64,Nürensdorf,77.0
0.48,5.460000000000001,3.9299999999999997,0.35000000000000003,3.48,9.8,3.2,2.48,6.1499999999999995,11.200000000000001,0.1,0.1,46.730000000000004,65,Oberembrach,115.0
2.6999999999999997,0.28,0.03,1.0,0.39,3.3000000000000003,29.8,0.44,3.9,0.5,2.7,6.5,51.54,66,Opfikon,91.0
1.65,2.5200000000000005,1.17,1.35,1.8299999999999998,7.4,15.4,1.8800000000000001,13.2,9.4,0.30000000000000004,1.6,57.7,67,Rafz,46.0
1.8299999999999998,3.7100000000000004,2.31,0.45,1.17,8.8,11.8,0.84,7.949999999999999,3.7,0.1,0.1,42.760000000000005,68,Rorbas,129.0
2.55,0.8400000000000001,0.36,1.2000000000000002,3.0,4.800000000000001,31.0,0.72,4.35,0.30000000000000004,2.9000000000000004,8.0,60.019999999999996,69,Wallisellen,31.0
0.6,3.1500000000000004,4.14,0.9,1.47,9.8,1.2000000000000002,2.56,0.75,1.8,0.1,0.1,26.570000000000004,70,Wasterkingen,159.0
0.63,2.87,3.4499999999999997,1.8,3.4499999999999997,9.8,6.6000000000000005,1.0,14.85,8.0,0.2,2.5,55.150000000000006,71,Wil,61.0
1.5,3.99,2.34,1.75,4.38,9.8,16.0,1.2,6.75,5.0,0.30000000000000004,1.4000000000000001,54.410000000000004,72,Winkel,68.0
0.48,4.550000000000001,2.07,0.65,1.7999999999999998,9.8,2.6,1.68,1.05,10.600000000000001,0.30000000000000004,9.600000000000001,45.18,81,Bachs,122.0
0.6599999999999999,3.99,4.08,1.75,4.29,9.8,5.0,1.6400000000000001,11.85,6.2,0.30000000000000004,5.1000000000000005,54.660000000000004,82,Boppelsen,65.0
2.34,2.45,1.3199999999999998,0.8500000000000001,1.65,2.3000000000000003,21.6,0.88,3.5999999999999996,8.4,0.5,1.8,47.690000000000005,83,Buchs,110.0
2.19,2.0300000000000002,2.9099999999999997,1.0,1.05,9.200000000000001,18.0,1.52,2.4,5.6000000000000005,0.5,5.7,52.10000000000001,84,Dällikon,87.0
1.53,4.130000000000001,3.5999999999999996,1.0,2.73,9.5,5.2,0.72,13.65,6.0,0.1,0.1,48.260000000000005,85,Dänikon,104.0
2.4,1.4000000000000001,1.26,1.9500000000000002,0.84,1.4000000000000001,25.200000000000003,2.2800000000000002,6.1499999999999995,4.800000000000001,1.1,4.3,53.080000000000005,86,Dielsdorf,79.0
0.15,5.180000000000001,4.109999999999999,0.8,4.17,9.8,1.4000000000000001,1.96,14.85,5.7,0.1,0.1,48.32000000000001,87,Hüttikon,103.0
0.21,5.250000000000001,2.73,1.4500000000000002,0.03,9.8,17.2,2.04,7.35,6.6000000000000005,0.1,0.1,52.86000000000001,88,Neerach,82.0
2.28,2.5900000000000003,1.71,0.6000000000000001,1.14,4.7,19.400000000000002,1.56,2.1,4.5,0.1,0.1,40.78000000000001,89,Niederglatt,138.0
1.98,2.24,0.99,0.75,1.26,1.5,24.6,0.8,3.75,6.7,0.8,4.5,49.87,90,Niederhasli,94.0
1.3499999999999999,4.130000000000001,2.4899999999999998,1.6,2.82,9.8,9.0,0.48,12.75,10.4,0.7000000000000001,7.0,62.52,91,Niederweningen,16.0
2.52,1.6800000000000002,0.44999999999999996,0.1,0.09,5.800000000000001,21.0,1.0,3.0,3.9000000000000004,0.7000000000000001,7.7,47.940000000000005,92,Oberglatt,109.0
1.2,4.41,3.06,1.1500000000000001,2.6999999999999997,0.30000000000000004,4.800000000000001,1.8800000000000001,8.25,3.3000000000000003,0.30000000000000004,5.6000000000000005,36.95,93,Oberweningen,147.0
1.41,3.2900000000000005,2.16,0.9500000000000001,2.55,3.5,15.600000000000001,1.12,4.2,4.7,0.5,6.300000000000001,46.28,94,Otelfingen,118.0
0.06,5.53,0.24,0.30000000000000004,3.7199999999999998,9.8,1.0,0.12,13.65,0.2,0.1,0.1,34.82000000000001,95,Regensberg,153.0
2.4899999999999998,0.7000000000000001,1.1099999999999999,0.7000000000000001,0.57,6.7,30.400000000000002,1.28,2.85,2.5,2.1,7.1000000000000005,58.50000000000001,96,Regensdorf,40.0
2.4899999999999998,0.6300000000000001,1.2,0.5,1.08,2.5,27.0,2.4,1.5,2.9000000000000004,1.4000000000000001,7.9,51.49999999999999,97,Rümlang,92.0
2.19,3.2900000000000005,3.21,0.9500000000000001,1.74,9.8,0.8,1.48,7.199999999999999,3.5,0.1,0.1,34.36,98,Schleinikon,155.0
0.18,4.41,2.9699999999999998,1.55,3.33,3.0,4.2,1.2,3.3,6.2,0.1,0.1,30.540000000000003,99,Schöfflisdorf,156.0
1.53,4.2,2.52,0.9,1.71,9.8,10.200000000000001,0.92,5.3999999999999995,9.200000000000001,0.1,0.1,46.580000000000005,100,Stadel,117.0
2.04,1.8200000000000003,2.01,0.9,2.1,2.9000000000000004,12.8,1.08,5.1,6.0,0.5,5.7,42.95,101,Steinmaur,127.0
2.46,2.9400000000000004,2.82,0.75,0.63,9.8,11.0,1.68,1.7999999999999998,7.0,0.1,0.1,41.080000000000005,102,Weiach,136.0
0.78,2.31,2.76,0.55,1.23,9.8,19.6,0.68,5.25,10.200000000000001,0.4,4.0,57.56,111,Bäretswil,48.0
0.99,2.1700000000000004,2.16,1.2000000000000002,2.4899999999999998,6.5,23.200000000000003,1.6,13.5,7.300000000000001,0.4,1.5,63.01,112,Bubikon,14.0
1.47,2.66,2.2199999999999998,1.0,0.99,5.9,21.8,2.2,6.1499999999999995,7.0,1.8,9.200000000000001,62.39,113,Dürnten,18.0
1.38,3.7800000000000002,3.0,0.55,0.24,8.4,9.8,0.44,12.6,10.700000000000001,0.30000000000000004,5.0,56.190000000000005,114,Fischenthal,56.0
1.56,1.7500000000000002,2.61,0.65,2.4,9.4,25.8,1.16,8.85,3.3000000000000003,0.8,4.4,62.67999999999999,115,Gossau,15.0
1.68,2.24,2.79,1.4000000000000001,1.92,9.8,16.8,1.56,8.549999999999999,9.3,0.1,0.1,56.239999999999995,116,Grüningen,55.0
1.89,1.4700000000000002,1.98,0.65,1.1099999999999999,5.1000000000000005,29.0,0.6,4.5,8.3,2.0,8.6,65.2,117,Hinwil,10.0
2.16,0.9800000000000001,0.63,0.5,0.27,6.300000000000001,26.0,0.96,9.299999999999999,2.6,1.4000000000000001,7.300000000000001,58.400000000000006,118,Rüti,42.0
0.9299999999999999,4.41,3.36,2.0,2.76,9.8,4.6000000000000005,1.4000000000000001,16.05,10.8,0.30000000000000004,4.6000000000000005,61.01,119,Seegräben,22.0
1.92,2.1,1.8299999999999998,0.4,0.12,4.6000000000000005,23.6,0.2,5.85,7.5,1.2000000000000002,8.5,57.82000000000001,120,Wald,45.0
2.4299999999999997,0.49000000000000005,0.48,0.6000000000000001,0.3,3.4000000000000004,30.200000000000003,0.84,4.8,2.6,2.2,6.800000000000001,55.140000000000015,121,Wetzikon,62.0
2.31,1.1900000000000002,1.5,0.8500000000000001,2.34,0.4,28.0,1.6400000000000001,3.5999999999999996,2.4000000000000004,2.8000000000000003,9.700000000000001,56.730000000000004,131,Adliswil,53.0
1.44,3.2900000000000005,1.7999999999999998,1.75,4.62,3.8000000000000003,22.400000000000002,1.48,6.45,0.30000000000000004,1.6,7.6000000000000005,56.53000000000001,135,Kilchberg,54.0
1.44,1.4000000000000001,2.28,1.4000000000000001,3.78,5.7,20.400000000000002,1.28,13.799999999999999,6.2,0.30000000000000004,1.3,59.28,136,Langnau am Albis,34.0
0.6599999999999999,2.1,1.14,0.9500000000000001,4.41,0.6000000000000001,14.600000000000001,0.56,12.299999999999999,4.2,0.1,0.1,41.720000000000006,137,Oberrieden,133.0
1.08,2.5200000000000005,0.78,1.25,3.36,0.9,26.200000000000003,0.84,7.05,5.1000000000000005,0.30000000000000004,0.30000000000000004,49.68,138,Richterswil,96.0
0.96,2.9400000000000004,1.47,1.75,4.6499999999999995,2.6,19.0,0.68,4.8,3.6,0.7000000000000001,3.9000000000000004,47.05,139,Rüschlikon,114.0
